B        38 47 30 22 20 46 43 19 14 12  1 11 21 15 13 23  9 44 41 25  3 28  4  2 34 40 33  8 10 31 24 35 16  7  0 39 37 17 18 26 36  6 27  5 29 42 45 32
RawFitness        24539

Gen                 AvgFit              BestFit			AvgStd
239            38779.52            31824.22            3019.61             
240            38829.79            31700.02            3033.5              
241            38822.83            31784.08            3019.44             
242            38800.51            31733.54            2975.73             
243            38769.83            31410.66            2992.6              
244            38802.27            31299.14            3019.21             
245            38732.22            31413.34            3012.1              
246            38744.87            31335.84            3051.35             
247            38675.84            31283.86            3025.9              
248            38624.96            31228.02            2975.76             
249            38684.57            31594.44            2949.38             

